,prompt,answer,model_generation,model,split,num_few_shot
0,"Q: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72","
Natalia sold 48 clips in April, and sold half as many clips in May, so she sold 48/2 = <<48/2=24>>24 clips in May.
She sold a total of 48+24 = <<48+24=72>>72 clips in April and May.
Natalia sold a total of 72 clips in April and May.
This is 72/2=<<72/2=36>>36 clips.
Natalia sold a total of 36 clips altogether in April and May.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
1,"Q: Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10"," Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?
She earns 12*50=<<12*50=600>>600 dollars.
Her total earnings for the day is 600+600=<<600+600=1200>>1200 dollars.
You can also write this as $12*50=<<12*50=600>>600 dollars.
Or $12/50=<<12/50=0.24>>0.24 dollars per minute.
So she earns 0.24*50=<<0.24*50=12>>12 dollars per minute of babysitting.
This means she earns 12*50=<<12*50=600>>600 dollars for babysitting for 50 minutes.
Thus, Weng earns 600 dollars for babysitting for 50 minutes.
Therefore, Weng earns $600 for babysitting for 50 minutes.
The total amount of money Weng earns for babysitting is $600.
The total time she babysits is 50 minutes.
Therefore, Weng earns $600 for babysitting 50 minutes.
Weng earns $600 for babysitting 50 minutes.
Weng earns $600 from babysitting 50 minutes.
Weng earns 600 dollars for babysitting 50 minutes.
The total time she babysits is 50 minutes.
Weng earns $600 for babysitting 50 minutes.
Weng earns 600 dollars for babysitting 50 minutes.
Weng earns $600 for 50 minutes of babysitting.
The total amount of money Weng earns for babysitting is $600.
The total time she babysits is 50 minutes.
The total time Weng babysits is 50 minutes.
The total amount of money Weng earns for babysitting is $600.
The total time she babysits is 50 minutes.
Weng earns $600 for babysitting 50 minutes.
Weng earns $600 for 50 minutes of babysitting.
Weng earns $600 for 50 minutes of babysitting.
Weng earns $600 from babysitting 50 minutes.
Weng earns $600 from babysitting 50 minutes.
Weng earns",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
2,"Q: Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5","
A: Betty's grandparents gave her twice as much as her parents, so $15 x 2 = $30.
Therefore Betty needs another $100 - $30 = $<<100-30=70>>70 to buy the wallet.
Betty needs $70 more to buy the wallet.
The wallet costs $100 and Betty has only half, so she needs another $100 - $50 = $50.
Betty needs $50 more to buy the wallet.
She has $15 and needs another $70 to buy the wallet, so she needs $15 + $70 = $<<15+70=85>>85.
Betty needs another $85 to buy the wallet.
A: Betty needs $85 more to buy the wallet.
Betty has only half of the money she needs, so she needs $100 - $50 = $<<100-50=50>>50.
Betty needs another $85 - $15 = $<<85-15=70>>70 to buy the wallet.
Betty needs $70 more to buy the wallet.
A: Betty needs $85 more to buy the wallet.
Betty has only half of the money she needs, so she needs $100 - $50 = $<<100-50=50>>50.
Betty needs $50 - $15 = $<<50-15=35>>35 more to buy the wallet.
Betty needs $35 more to buy the wallet.
A: Betty needs $85 more to buy the wallet.
Betty has only half of the money she needs, so she needs $100 - $50 = $<<100-50=50>>50.
Betty needs $50 - $15 = $<<50-15=35>>35 more to buy the wallet.
Betty needs $35 more to buy the wallet.
A: Betty needs $85 more to buy the wallet.
Betty has only half of the money she needs, so she needs $100 - $50 = $<<100-50=50>>50.
Betty needs $50 - $15 = $<<50-15=35>>35 more to buy the wallet.
Betty needs $35 more to buy the wallet.
A: Betty needs $85 more to buy the wallet.
Betty has only half of the money she needs, so she needs $100 - $",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
3,"Q: Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42","
Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday.
Yesterday, Julie was able to read 12 pages, and today, she read twice as many pages as yesterday, so she was able to read 12 x 2 = <<12*2=24>>24 pages.
Today, Julie was able to read 24 pages, and she reads half of the remaining pages tomorrow, meaning she should read 24 / 2 = <<24/2=12>>12 pages.
Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?
Julie was able to read 12 pages yesterday and today she read 24 pages. So, she has read 24-12 = <<24-12=12>>12 pages today.
If she wants to read half of the remaining pages tomorrow, Julie needs to read 12/2 = <<12/2=6>>6 pages tomorrow.
Julie was able to read 12 pages yesterday and today she read 24 pages. So, she has read 24-12 = <<24-12=12>>12 pages today.
If she wants to read half of the remaining pages tomorrow, Julie needs to read 12/2 = <<12/2=6>>6 pages tomorrow.
She has read 12 pages today and tomorrow she needs to read 6 pages more, so she has read 12+6 = <<12+6=18>>18 pages today and tomorrow.
Julie was able to read 12 pages yesterday and today she read 24 pages. So, she has read 24-12 = <<24-12=12>>12 pages today.
If she wants to read half of the remaining pages tomorrow, Julie needs to read 12/2 = <<12/2=6>>6 pages tomorrow.
She has read 12 pages today and tomorrow she needs to read 6 pages more, so she has read 12+6 = <<12+6=18>>18 pages today and tomorrow.
Julie was able to read 12 pages yesterday and today she read 24 pages. So, she has read 24-12 = <<24-12=12>>12 pages today.
If she wants to read half of the remaining pages tomorrow,",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
4,Q: James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624","
A: He writes 3 x 2 = <<3*2=6>>6 pages a week.
So he writes 6 x 52 = <<6*52=312>>312 pages a year.
The letter is 3 pages long so he writes 3 x 2 = <<3*2=6>>6 pages a week.
So he writes 6 x 52 = <<6*52=312>>312 pages a year.
A: He writes a total of 6*2 = <<6*2=12>>12 pages a week.
So he writes 12*52 = <<12*52=612>>612 pages a year.
A: He writes a total of 6*2 = <<6*2=12>>12 pages a week.
So he writes 12*52 = <<12*52=612>>612 pages a year.
A: He writes a total of 6*2 = <<6*2=12>>12 pages a week.
So he writes a total of 12*52 = <<12*52=612>>612 pages a year.
A: He writes 3*2 = <<3*2=6>>6 pages a week.
So he writes a total of 6*52 = <<6*52=312>>312 pages a year.
A: He writes a total of 6*2 = <<6*2=12>>12 pages a week.
So he writes a total of 12*52 = <<12*52=612>>612 pages a year.
A: He writes a total of 6*2 = <<6*2=12>>12 pages a week.
So he writes a total of 12*52 = <<12*52=612>>612 pages a year.
A: He writes a total of 6*2 = <<6*2=12>>12 pages a week.
So he writes a total of 12*52 = <<12*52=612>>612 pages a year.
A: He writes a total of 6*2 = <<6*2=12>>12 pages a week.
So he writes a total of 12*52 = <<12*52=612>>612 pages a year.
A: He writes a total of 6*2 = <<6*2=12>>12 pages a week.
So he writes a total of 12*52 = <<12*52=612>>612 pages a year",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
5,"Q: Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35","
First we need to find how many of the flowers are yellow: 10 flowers * 80% = <<10*80*.01=8>>8 flowers
Then we need to find how many of the flowers are green: 8 flowers * 25% = <<8*25*.01=2>>2 flowers
Then we need to find the total number of flowers: 8 flowers + 2 flowers = <<8+2=10>>10 flowers
Then we add the number of yellow and purple flowers to find the total number: 10 flowers + 8 flowers = <<10+8=18>>18 flowers
Then we add 1 to find the total number of flowers in the garden: 18 flowers + 1 flower = <<18+1=19>>19 flowers
The answer is 19",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
6,"Q: Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48","
There are 16 slices in a large pizza.
There are 8 slices in a small pizza.
So a large pizza has 16*2=<<16*2=32>>32 slices.
And a small pizza has 8*2=<<8*2=16>>16 slices.
So he eats 32+16=<<32+16=48>>48 slices that day.
So he eats 48/4=<<48/4=12>>12 pieces
A piece is the same as a slice, so he eats 12/2=6 pieces.
A piece is the same as a slice, so he eats 6/2=3 pieces.
A piece is the same as a slice, so he eats 3/2=1.5 pieces.
A piece is the same as a slice, so he eats 1.5/2=1 piece.
A piece is the same as a slice, so he eats 1/2=0.5 pieces.
A piece is the same as a slice, so he eats 0.5/2=0.25 pieces.
A piece is the same as a slice, so he eats 0.25/2=0.125 pieces.
A piece is the same as a slice, so he eats 0.125/2=0.0625 pieces.
A piece is the same as a slice, so he eats 0.0625/2=0.03125 pieces.
A piece is the same as a slice, so he eats 0.03125/2=0.015625 pieces.
A piece is the same as a slice, so he eats 0.015625/2=0.0078125 pieces.
A piece is the same as a slice, so he eats 0.0078125/2=0.00390625 pieces.
A piece is the same as a slice, so he eats 0.00390625/2=0.001953125 pieces.
A piece is the same as a slice, so he eats 0.001953125/2=0.009765625 pieces.
A piece is the same as a slice, so he eats 0.009765625/2=0.00468875 pieces.
A piece is the same as a slice, so he eats 0.00468875/2=0.0234375 pieces",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
7,"Q: Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16","
A: Ken added a total of 2 pounds of jelly beans + 3 pounds of brownies = <<2+3=5>>5 pounds of brownies
5 pounds of brownies + 2 pounds of jelly beans + 2 pounds of gummy worms = <<5+2+2=9>>9 pounds of candy
The total weight of the box is 9 pounds + 2 pounds of jelly beans = <<9+2=11>>11 pounds
The final weight of the box of goodies, in pounds, is 11 lbs.
A: Ken added a total of 5 pounds of brownies + 2 pounds of jelly beans + 2 pounds of gummy worms = <<5+2+2=9>>9 pounds of candy
The final weight of the box of goodies, in pounds, is 9 pounds + 2 pounds of jelly beans = <<9+2=11>>11 pounds
A: Ken added a total of 5 pounds of brownies + 2 pounds of jelly beans + 2 pounds of gummy worms = <<5+2+2=9>>9 pounds of candy
The final weight of the box of goodies, in pounds, is 9 pounds + 2 pounds of jelly beans = <<9+2=11>>11 pounds
A: Ken added a total of 5 pounds of brownies + 2 pounds of jelly beans + 2 pounds of gummy worms = <<5+2+2=9>>9 pounds of candy
The final weight of the box of goodies, in pounds, is 9 pounds + 2 pounds of jelly beans = <<9+2=11>>11 pounds",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
8,"Q: Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41","
A: Alexis spent $30 + $46 + $38 + $11 + $18 = $<<30+46+38+11+18=131>>131 for her new clothes.
She paid $131 + $16 = $<<131+16=147>>147 for her clothes and shoes.
The shoes cost $147 - $30 = $<<147-30=117>>117.
Alexis paid $117 for one pair of shoes.
A: The total cost of the clothes is 30+46+38+11+18 = $<<30+46+38+11+18=131>>131.
The total cost of the shoes is 117-30 = $<<117-30=87>>87.
This means Alexis paid $131+$87 = $<<131+87=208>>208 for the clothes and shoes.
A: The total cost for the clothes is $30+ $46 +$38 + $11+ $18 = $<<30+46+38+11+18=131>>131
The total cost for the shoes is $16 + $117 = $<<16+117=123>>123
In total, Alexis paid $131+$123 = $<<131+123=164>>164
A: Alexis spent 3*200 = $<<3*200=600>>600 on clothes and shoes.
The shoes cost 600-30 = $<<600-30=570>>570.
The shoes cost 570/2 = $<<570/2=285>>285.
A: Alexis spent $30 for the shirt, $46 for the pants, $38 for the coat and $11 for the socks. She also spent $18 for the belt.
The total she spent for the clothes is $30 + $46 + $38 + $11 + $18 = $<<30+46+38+11+18=131>>131.
The shoes cost $570, so the total cost for clothes and shoes is $131 + $570 = $<<131+570=711>>711.
The shoes cost $285, so Alexis paid $711 - $285 = $<<711-285=426>>426 for the clothes and shoes.
A: Alexis spent $30 on a button-up shirt, $46 on suit pants and $38 on a suit coat. She also spent $",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
9,"Q: Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990","
A: Her hourly pay is $18.00/hour and she works 10 hours a day so that's 18*10 = $<<18*10=180>>180.00 per day
Over 5 days that's 180*5 = $<<180*5=900.00>>900.00
Her hourly wage is $18.00 and her hourly wage plus half her wage is $18.00+$9.00 = $<<18+9=27.00>>27.00
If she works more than 8 hours she is eligible for overtime and her overtime is 1/2 her hourly wage which is $9.00/hour * 2 = $<<9*2=18.00>>18.00
Her total pay is $27.00/hour and her overtime pay is $18.00 for a total of 27+18 = $<<27+18=45.00>>45.00/hour
Her total pay is $45.00/hour and she works 10 hours a day for 5 days so that's 45*10 = $<<45*10=450.00>>450.00
Her total pay over 5 days is $450.00",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train,0
